block,timestamp,staked,delegated
15176321,1658277211,19600954656007678024742157,2551725842425549790489057081
15186966,1658420649,19611041876908429078125373,2556402785937402912092697012
15197611,1658561472,19623700362964279819674943,2554899177331530332308384449
15208256,1658705197,19630338120799490655044514,2566280022327304294538814513
15218901,1658849205,19643956436771139654790483,2606921769808151559616285852
15229546,1658991742,19658674876338819600010908,2609370140568407496179655053
15240191,1659135516,19682238345898506516155861,2611968494192435489966072588
15250836,1659278646,19701518155036625719675183,2610478850509583748037702495
15261481,1659421866,19737622248962672875225227,2613646882493355820498052609
15272126,1659565345,19745107070420582349457829,2601552539062113095561319870
15282771,1659708296,19763868626962718236716473,2607857994038385847321192629
15293416,1659852141,19783936838114097738656712,2608988527937731234730143338
15304061,1659994875,19793453839301759027896499,2616296571473163653239400347
15314706,1660139389,19793453839301759027896499,2621982739657401120382287475
15325351,1660284606,19811012093898407249600453,2625080328106124194884081623
15335996,1660429257,19811012093898407249600453,2627896639430785973587065268
15346641,1660575059,19837722532465381609258325,2630209693789955022122982053
15357286,1660720110,19858550168611016400799108,2675845343540111953513189497
15367931,1660865477,19865158197636857052875345,2683448644339642203611622737
15378576,1661011907,19895235099529467704438264,2683653930019543239295817915
15389221,1661156685,19916338257189688017884265,2686646991326556560799176147
15399866,1661302423,19943251147545846172277638,2689898858032690616933073331
15410511,1661450140,19959846428743601947022158,2856072661517296231345785614
15421156,1661597637,19969784257776661728816492,2857432986806155474966263399
15431801,1661744282,19995882542845234637922041,2855062363673414214330778073
15442446,1661891095,20004259843402617461791891,2828556665382939944270916606
15453091,1662038175,20042186233625117354357292,3036720845837396197567485664
15463736,1662185366,20046808703747873215884318,3055587481875237536682633695
15474381,1662332439,20056993576265670124641673,3057603067337796359417962091
15485026,1662480205,20076014096600088554220977,3059342015419022470259162800
15495671,1662627815,20095032007879289332734756,3126545824934149936085791304
15506316,1662777425,20113602789495975521374221,3150904377188772406318874285
15516961,1662930226,20123875865380141531695927,3180887300853900371261441355
15527606,1663081864,20149609796216787358809615,3181874861773681488499945400
15538251,1663234595,20159521815279356997434367,3183168701246728035681191888
15548896,1663364303,20159521815279356997434367,3188942356927728290895355057
15559541,1663493303,20195983920831172387971755,3187226281615309374844061296
15570186,1663622375,20212827738904049134753719,3178905585607243860727353889
15580831,1663751951,20232101256877575707709809,3183689813302914412213930457
15591476,1663880987,20240311368054054485263372,3182059828632174951178313981
15602121,1664009279,20258015486698464854182346,3182069692492558239656297594
15612766,1664137559,20266895875593449653624841,3183700775477360267241917729
15623411,1664266223,20285145884615547209164897,3214665601454348638674710646
15634056,1664394851,20293724491070549241231138,3206737078479423773110416380
15644701,1664523383,20329652112300594440435815,3171485732553034038536310775
15655346,1664651987,20338743568003951844662826,3192149131307773148556487908
15665991,1664780363,20347457535065140572977727,3201284826104650836024155183
15676636,1664909039,20347457535065140572977727,3198216288481329313428148865
15687281,1665037775,20363036057493717181304371,3200753837811472064659524256
15697926,1665166475,20371427702140020594911701,3208604250956036141615764295
15708571,1665294755,20389140638079639102237155,3208816035438984666455778436
15719216,1665423203,20398247493860421754064588,3209594077749286399629170817
15729861,1665551543,20416870103628226504268372,3404090817664245851619786730
15740506,1665679943,20430112445377880879291543,3404602147273073899853679262
15751151,1665808403,20448661633585207396400590,3410035799392923969436518465
15761796,1665936815,20457238793572657614598702,3407778873198844128054336354
15772441,1666065335,20474937274103278641598803,3404695224454655423767690216
15783086,1666193771,20483051063563184100709504,3409072752360565540511089503
15793731,1666322147,20499437936780520300280727,3415627388104123456290701833
15804376,1666450499,20509795015315864947083274,3417646735288995979777233110
15815021,1666578971,20528259283666484609312620,3418600883071274356414355114
15825666,1666707767,20539594359717915059248968,3408759839150066549550808300
15836311,1666836347,20557893690624861571129306,3434137906341333911032305757
15846956,1666964879,20565690890034727034883574,3437932951332102210961599925
15857601,1667093435,20574267851374944531797118,3432764205353255245699490778
15868246,1667221763,20607883792978057300363938,3434983043632860655105691811
15878891,1667350511,20615684696497038870289929,3412119763463942896539791391
15889536,1667478959,20624662130594077262108166,3417386891361256152404341107
15900181,1667607431,20640158590221834929401686,3426885999900556111536819943
15910826,1667735879,20648554224546803076222714,3448475589136651104138665217
15921471,1667864195,20657283354568627032106174,3446727738428698467058449056
15932116,1667992595,20666365527258254175881204,3414391891784339940105289824
15942761,1668121199,20666365527258254175881204,3332143024994095125502173986
15953406,1668249755,20666365527258254175881204,3312507355636749688078297067
15964051,1668377987,20666365527258254175881204,3299633852717661874712747613
15974696,1668506363,20666420952725460250473283,3297692943449999684018678517
15985341,1668635039,20666420952725460250473283,3296351714293937500071663287
15995986,1668763511,20666420952725460250473283,3263906585808122150619999199
16006631,1668891923,20666420952725460250473283,3267274442428803215411671994
16017276,1669020275,20666420952725460250473283,3262449497033742443577350147
16027921,1669148843,20666420952725460250473283,3247739336941927995681399000
16038566,1669277555,20666420952725460250473283,3244789739541158031754813268
16049211,1669406039,20666420952725460250473283,3244799648401605299296052212
16059856,1669534415,20666420952725460250473283,3296203179348516489306919782
16070501,1669662791,20666420952725460250473283,3296924557630348020526320828
16081146,1669791275,20666420952725460250473283,3303428681517902987429279590
16091791,1669919855,20691615829715776233098227,3312693306468429489643122427
16102436,1670048147,20691615829715776233098227,3323982861999675593992904496
16113081,1670176691,20691615829715776233098227,3325969630496544833746327688
16123726,1670305283,20691615829715776233098227,3324664385163104386114465058
16134371,1670434763,20691615829715776233098227,3329572654851860523417937534
16145016,1670563103,20692834150758222111633317,3331185670442658887815485714
16155661,1670691647,20692834150758222111633317,3260739932306493949114635217
16166306,1670820071,20692834150758222111633317,3261592980660043375798169272
16176951,1670948723,20692834150758222111633317,3322029164755173027216222201
16187596,1671077111,20695123911378818014171264,3336324578372532922844082366
16198241,1671205571,20695123911378818014171264,3344937894379436866167352946
16208886,1671334043,20695223911378818014171264,3355411742592300566432149091
16219531,1671462407,20695223911378818014171264,3356413975008962781996185188
16230176,1671590735,18845552525570826222023865,3346273736503847137878520994
16240821,1671719063,18845552525570826222023865,3350270107626078653021695370
16251466,1671847163,18845552525570826222023865,3384850375135794401251345015
16262111,1671975563,18845552525570826222023865,3384793552219117576169757256
16272756,1672103927,18845552525570826222023865,3393717086998678318348208967
16283401,1672232327,18845552525570826222023865,3393969268751900915787789517
16294046,1672360667,18845554525570826222023865,3396669786559215299817564184
16304691,1672489043,18857000900997992065851222,3400516686111608009265779093
16315336,1672617299,18857000900997992065851222,3393611865083357001243224725
16325981,1672745567,18857000900997992065851222,3400430996138894173656237662
16336626,1672873859,18857000900997992065851222,3559848435683493914199669273
16347271,1673002415,18857000900997992065851222,3546909521550659708183530386
16357916,1673130803,18857000900997992065851222,3547955623366551980930871768
16368561,1673259083,18857000900997992065851222,3551097403878356501734423097
16379206,1673387399,19113695240332481885804026,3552341387594358819500713604
16389851,1673515979,19119381241474419306687794,3553858647699202081135608607
16400496,1673644535,18797398409067430460847870,3550984103713674409768828261
16411141,1673772851,18797398409067430460847870,3551691243925213481486104217
16421786,1673901455,18799951912894335103670889,3550886618891693069029490099
