date,block,timestamp,staked,delegated,total,percentage,apy
2022-02-10,14175691,1644460121,19545031222409046236636304,2461770341575627362822849255,2481315372.7980366,33.25682207143628,5.986003883949488
2022-02-11,14186336,1644603622,20100842986977531037005017,2517705013849594555250899129,2537805856.836572,33.84878339372065,5.880990574838468
2022-02-13,14196981,1644744301,20100842986977531037005017,2519116318383076200576865364,2539217161.370054,33.95869681761741,5.861492050315651
2022-02-15,14207626,1644887012,20100842986977531037005017,2527013293346146516265912790,2547114136.333124,33.76418278678301,5.895998632549127
2022-02-16,14218271,1645029723,20300725255825903555137190,2562281265169056615937042452,2582581990.4248824,34.314372794841894,5.801582332990003
2022-02-18,14228916,1645171974,20300725255825903555137190,2581192641370488664942138916,2601493366.6263146,34.63505258044792,5.74794483732733
2022-02-19,14239561,1645315084,20316189699481412196919595,2581792132894450319633454780,2602108322.5939317,34.507265843548566,5.769318683930205
2022-02-21,14250206,1645456875,20316189699481412196919595,2615949822147365826738402101,2636266011.846847,35.02972534736161,5.682207355982483
2022-02-23,14260851,1645599342,20362202732339656157753610,2645918973222812365947213646,2666281175.955152,35.33981778647547,5.633222199335539
2022-02-24,14271496,1645741560,20380178428037086765037011,2653189324015441264830167445,2673569502.4434786,35.478627947575106,5.611294423524288
2022-02-26,14282141,1645884223,20389593954939928776476438,2648823572096587941088195605,2669213166.051528,35.52078073780715,5.604635567092563
2022-02-28,14292786,1646026749,20415686661573653460659890,2648340603941705515344965194,2668756290.603279,35.28493517951014,5.641891978924723
2022-03-01,14303431,1646168526,20453690069613442289440376,2668005462538053501521367761,2688459152.607667,35.542072310614145,5.601272147358141
2022-03-03,14314076,1646311927,20469501687405975031574533,2680200993849404076652027937,2700670495.53681,35.63378002877176,5.5867851222874165
2022-03-05,14324721,1646454031,20495341558563403730134355,2707140070751383590493586347,2727635412.309947,35.9465707295859,5.537373722509747
2022-03-06,14335366,1646597375,20495341558563403730134355,2715567862824633853857836404,2736063204.3831973,36.09900954950548,5.514138465874872
2022-03-08,14346011,1646740133,20534274636507012235190470,2715419852813926046715933227,2735954127.4504333,35.81191796851918,5.558644755794678
2022-03-10,14356656,1646883166,20679262407472726533110028,2711747665984124575964874557,2732426928.3915973,35.6693274215691,5.581169717379305
2022-03-11,14367301,1647025755,20693231981208774960838399,2716717381409608545448060606,2737410613.390817,35.803223716959934,5.560018182621126
2022-03-13,14377946,1647169545,20693231981208774960838399,2717257821558083332282796103,2737951053.5392923,35.64612009896278,5.584835767207786
2022-03-15,14388591,1647312480,20736601315998095362896561,2708289986011890450557945220,2729026587.3278885,35.47946891642054,5.611161576071617
2022-03-16,14399236,1647455157,20767341890915415898103393,2706058308522178332677679053,2726825650.4130936,35.49551380603148,5.608626972412073
2022-03-18,14409881,1647599472,20793127549348434105995714,2697567509464243740177911465,2718360637.0135922,35.331885745826526,5.634475220063258
2022-03-20,14420526,1647742356,21676503743624177139407338,2701526313142080897334448765,2723202816.885705,35.28959546918779,5.641155795157934
2022-03-21,14431171,1647885363,21714608622527593672091177,2705636754335023639007670374,2727351362.957551,35.522991678253774,5.604286305870895
2022-03-23,14441816,1648028888,21729528915913617199322368,2709942156512895723192808764,2731671685.428809,35.5786986293066,5.5954863050342265
2022-03-25,14452461,1648171249,21760450913759242844644319,2658745464090847328588946386,2680505915.0046067,34.816347772323674,5.717621067310076
2022-03-26,14463106,1648314614,21844872814248667303288964,2658487487002261927644415079,2680332359.8165107,34.78731655542621,5.722476882488688
2022-03-28,14473751,1648457712,21848645295486459991834411,2660338836494474615599448281,2682187481.789961,34.820654527798006,5.716900711402271
2022-03-30,14484396,1648600559,21896809802228830505842955,2695849321733294433248777558,2717746131.5355234,35.19374706387914,5.656296922628894
2022-03-31,14495041,1648744197,21931786601399408623020318,2698852059645343148788567824,2720783846.2467427,35.389245971590825,5.625414052198612
2022-04-02,14505686,1648887889,21956379683637725665803765,2701086544569930315568491852,2723042924.253568,35.01217297960777,5.684980095254695
2022-04-04,14516331,1649031507,21956379683637725665803765,2701731266004414561915021234,2723687645.688052,35.10763667563906,5.669899740127197
2022-04-05,14526976,1649175390,22006712769098717977981443,2700490973582237333556886187,2722497686.351336,35.02620524048089,5.682763425609524
2022-04-07,14537621,1649319155,22023537257000951489845084,2701026519074671084170099558,2723050056.331672,35.00369234617305,5.686319776926561
2022-04-09,14548266,1649463604,22049784423085708531574959,2694239040943668467791690565,2716288825.366754,34.90719397827611,5.702425962422079
2022-04-10,14558911,1649607032,22049784423085708531574959,2694791722364718175633786230,2716841506.7878036,34.93299437240779,5.698110540651048
2022-04-12,14569556,1649750704,22092662543872851560351931,2715288635344642753905043157,2737381297.8885155,34.98429091563605,5.689530585697804
2022-04-13,14580201,1649894175,22122715844725804178723739,2715969325745650587321674971,2738092041.5903764,35.062950150062925,5.676958849538603
2022-04-15,14590846,1650038016,22156835800655514332022823,2726635675940179591232030059,2748792511.740835,35.29281845803279,5.640646661127143
2022-04-17,14601491,1650180833,22156835800655514332022823,2735790059081438428656504807,2757946894.882094,35.31789411425242,5.636685471517188
2022-04-18,14612136,1650325095,22199520517188571295899722,2738957231577284871788519246,2761156752.0944734,35.33221726216652,5.634422850583073
2022-04-20,14622781,1650469688,22227842443444513443401322,2740155718071888208913079485,2762383560.5153327,35.4329544266402,5.618509448127942
2022-04-22,14633426,1650613874,22244873691627733977323894,2741898925384791497230001122,2764143799.0764194,35.392104081805634,5.624962557873285
2022-04-23,14644071,1650757386,22257199005561579136030874,2741051497396151533636481421,2763308696.401713,35.4639325409637,5.613615849989594
2022-04-25,14654716,1650902291,22304157567451982262914893,2754952119100831706146342253,2777256276.6682835,35.468083479697945,5.612960128151583
2022-04-27,14665361,1651047494,22326213973658854374477365,2757015731493935757572199479,2779341945.4675946,35.475920758237514,5.611722076949678
2022-04-29,14676006,1651191627,22355055602184099707581482,2781861520910353678122744934,2804216576.512538,35.70952366972987,5.57481993497764
2022-04-30,14686651,1651335914,22394438125608886849411611,2787215572430833199286791463,2809610010.5564423,35.9432585598395,5.537896944405553
2022-05-02,14697296,1651480510,22415503716226677640146063,2789601377680262626763866903,2812016881.396489,35.90714524249541,5.5436017481479345
2022-05-04,14707941,1651625994,22443977194161271819229644,2788653663612929243764854038,2811097640.8070903,35.783759573264874,5.563092924238902
2022-05-05,14718586,1651772387,22480942854651104472819296,2784443790446947942961704388,2806924733.301599,35.60459666373278,5.591395204726075
2022-05-07,14729231,1651918834,22493762426702063239114353,2789693027617408332731116780,2812186790.0441103,35.78696072888022,5.562587239193124
2022-05-09,14739876,1652064609,22510100656058936242835404,2779360324404894503963918753,2801870425.0609536,35.69712884161483,5.576777940140754
2022-05-10,14750521,1652212751,22540926621372303096009408,2768867268837247964233306622,2791408195.45862,35.56413192931526,5.597787399775342
2022-05-12,14761166,1652359732,22568522529073079871831265,2695458727076258944410179395,2718027249.605332,34.627292738365725,5.749242762905146
2022-05-14,14771811,1652506142,22594453297204065368942517,2669628987257857731939446484,2692223440.555062,33.86736973359285,5.877693377908929
2022-05-15,14782456,1652651534,22627045098100179317474540,2674555852247740040818559715,2697182897.3458405,33.93321830754138,5.866011910910558
2022-05-17,14793101,1652798617,22661443596395020399853098,2786625798753775199694837173,2809287242.35017,35.33996409710877,5.633199086713665
2022-05-19,14803746,1652945897,22674940269012241831810854,2796111316343526073528547466,2818786256.6125383,35.451650702459084,5.6155560062371315
2022-05-21,14814391,1653095653,22703915280003579157237365,2798395247890836072759694859,2821099163.17084,35.47955159636011,5.61114851516048
2022-05-22,14825036,1653245530,22736149004145146652638280,2799005674165398248807470830,2821741823.1695433,35.489093238264594,5.609641226480059
2022-05-24,14835681,1653394001,22762321183537698596264269,2784983580902579515803943679,2807745902.0861173,35.31618329453584,5.636955728902536
2022-05-26,14846326,1653544374,22772973801371451943917668,2786034630599960789468595941,2808807604.4013324,35.3057737894702,5.638600113518022
2022-05-27,14856971,1653694105,22800975670673427536811105,2788862787574877531415115425,2811663763.245551,35.340868693055114,5.633056188117813
2022-05-29,14867616,1653843367,22815821981103534000443200,2784849235710156027268602725,2807665057.6912594,35.28619774172961,5.641692532565199
2022-05-31,14878261,1653994024,22864444189992200631204464,2786331699497613517701400503,2809196143.687606,35.309063217814426,5.638080484070813
2022-06-02,14888906,1654143906,22893599641023185980407510,2783122345624548084415469752,2806015945.265571,35.26752929075522,5.644641578978422
2022-06-03,14899551,1654293250,22923539241020883880315706,2803863731958326316759168448,2826787271.199347,35.52843473763244,5.603426468342884
2022-06-05,14910196,1654447991,22953207877687782552428039,2803338903531746008702568165,2826292111.409434,35.520255419478204,5.60471855138172
2022-06-07,14920841,1654605307,22980745343190322055867481,2806000109685557300801834760,2828980855.0287476,35.55932758243162,5.598546340191155
2022-06-09,14931486,1654761514,22995089716616712859035956,2808165105189149546583353179,2831160194.9057665,35.58639669896659,5.5942702445935035
2022-06-11,14942131,1654918904,23025557592652433685919942,2805246118267915713293105317,2828271675.860568,35.550341822219295,5.599965816502318
2022-06-12,14952776,1655075541,23057588977432161781722402,2594206913746277401683684546,2617264502.7237096,32.89588557300957,6.051187996759972
2022-06-14,14963421,1655234868,23090131182054314869392479,2524782953002394152262442050,2547873084.1844482,32.02688376647413,6.214982992976314
2022-06-16,14974066,1655393410,23128454296806032522651203,2552698495560233538050975093,2575826949.8570395,32.189590703339526,6.184314953039214
2022-06-18,14984711,1655551619,23145286160122420969029924,2465783434159167321631189615,2488928720.3192897,31.109479133028454,6.3987303620653915
2022-06-20,14995356,1655710687,23178372117324272179879533,2452565938082301265953824673,2475744310.1996255,30.94422875290002,6.432633340340774
2022-06-22,15006001,1655874997,23204335030073665257443864,2452861788426654723255592436,2476066123.4567285,30.94792491260464,6.431842276290154
2022-06-24,15016646,1656047342,23237055923233421550548582,2423213904735106503461750176,2446450960.65834,30.574902247565223,6.511677793140361
2022-06-26,15027291,1656219002,23274222155313291063168308,2422587858527200047632577511,2445862080.682513,30.566275618637768,6.513524092155532
2022-06-28,15037936,1656390731,23305752481229571724943059,2421732472209814792617709706,2445038224.6910443,30.536569195391028,6.5198819569073265
2022-06-30,15048581,1656563397,23361927055183192511308635,2455010159329761054732031392,2478372086.3849444,30.955186561725185,6.430288114666591
2022-07-01,15059226,1656714335,23397466870705868822797200,2470935882273219951164231215,2494333349.1439257,31.150169362781888,6.390565998440008
2022-07-03,15069871,1656854880,23412800929264774958840470,2474939209672153238972899765,2498352010.601418,31.200233113466513,6.380520868011483
2022-07-05,15080516,1656997461,23451345294693650000173491,2480210185784956065168906232,2503661531.07965,31.268071177408142,6.366909378840307
2022-07-06,15091161,1657139795,23466827997890433259763563,2487987818526900416552289949,2511454646.524791,31.36858307793395,6.346741989529809
2022-07-08,15101806,1657282042,23498935206607983541941468,2503339570507531489872003532,2526838505.7141395,31.56046358971718,6.308241782469884
2022-07-10,15112451,1657423230,23532810501947443447695802,2481522171373268523643868522,2505054981.875216,31.288321382507622,6.3628462403689205
2022-07-11,15123096,1657565920,19413048501846582322738100,2519952867042077867651217290,2539365915.5439243,31.7137217293383,6.277491030065712
2022-07-13,15133741,1657707854,19445501646995311047256740,2525038759985087215449672506,2544484261.6320825,31.77669223641183,6.264856200512317
2022-07-15,15144386,1657849307,19475237953397619865719674,2534211339456300201225011301,2553686577.409698,31.895318216491926,6.241054279445264
2022-07-16,15155031,1657992357,19490102365447483667898804,2544690513085789038615325325,2564180615.4512367,32.02371781038763,6.215579732547289
2022-07-18,15165676,1658134351,19576371244876423312723209,2541223771573090381644395396,2560800142.817967,31.983479502305528,6.223365001222327
2022-07-20,15176321,1658277211,19600954656007678024742157,2551725842425549790489057081,2571326797.0815573,32.115896473892164,6.1982053108528765
2022-07-21,15186966,1658420649,19611041876908429078125373,2556402785937402912092697012,2576013827.8143115,32.17258018886714,6.187521203167452
2022-07-23,15197611,1658561472,19623700362964279819674943,2554899177331530332308384449,2574522877.6944947,32.153344720894324,6.191146826704862
2022-07-24,15208256,1658705197,19630338120799490655044514,2566280022327304294538814513,2585910360.448104,32.29775862459891,6.163926774188302
2022-07-26,15218901,1658849205,19643956436771139654790483,2606921769808151559616285852,2626565726.2449226,32.70025116862357,6.088062415530106
2022-07-28,15229546,1658991742,19658674876338819600010908,2609370140568407496179655053,2629028815.4447465,32.732270545153675,6.082027199471687
2022-07-29,15240191,1659135516,19682238345898506516155861,2611968494192435489966072588,2631650732.538334,32.75169087222492,6.078366732513814
2022-07-31,15250836,1659278646,19701518155036625719675183,2610478850509583748037702495,2630180368.6646204,32.73608214511845,6.081308764829649
2022-08-02,15261481,1659421866,19737622248962672875225227,2613646882493355820498052609,2633384504.7423186,32.7763249096385,6.073723552218211
2022-08-03,15272126,1659565345,19745107070420582349457829,2601552539062113095561319870,2621297646.1325336,32.62435097066914,6.102368568340456
2022-08-05,15282771,1659708296,19763868626962718236716473,2607857994038385847321192629,2627621862.6653485,32.704442996927355,6.087272313028599
2022-08-07,15293416,1659852141,19783936838114097738656712,2608988527937731234730143338,2628772464.7758455,32.71769254374986,6.08477495404115
2022-08-08,15304061,1659994875,19793453839301759027896499,2616296571473163653239400347,2636090025.312465,32.810159497575306,6.067346193550584
2022-08-10,15314706,1660139389,19793453839301759027896499,2621982739657401120382287475,2641776193.4967027,32.876127183574084,6.054912183865784
2022-08-12,15325351,1660284606,19811012093898407249600453,2625080328106124194884081623,2644891340.2000227,32.91560643310651,6.047470883422959
2022-08-13,15335996,1660429257,19811012093898407249600453,2627896639430785973587065268,2647707651.5246844,32.795077785480984,6.070188890719735
2022-08-15,15346641,1660575059,19837722532465381609258325,2630209693789955022122982053,2650047416.3224206,32.978853947253164,6.035549589056902
2022-08-17,15357286,1660720110,19858550168611016400799108,2675845343540111953513189497,2695703893.708723,33.52058389016053,5.939212817779005
2022-08-18,15367931,1660865477,19865158197636857052875345,2683448644339642203611622737,2703313802.537279,33.61629866430381,5.922233118624317
2022-08-20,15378576,1661011907,19895235099529467704438264,2683653930019543239295817915,2703549165.119073,33.61786151504235,5.921955870565159
2022-08-22,15389221,1661156685,19916338257189688017884265,2686646991326556560799176147,2706563329.5837464,33.65314361296963,5.915696863910087
2022-08-24,15399866,1661302423,19943251147545846172277638,2689898858032690616933073331,2709842109.1802363,33.695977115085974,5.9080982461816625
2022-08-25,15410511,1661450140,19959846428743601947022158,2856072661517296231345785614,2876032507.9460397,33.90582215793055,5.870871958719817
